date,stock_id,deal_price,volume,Time,TickType
2021-01-22,2603,33.4,3844,08:40:08.094,0
2021-01-22,2603,33.4,3804,08:40:13.113,0
2021-01-22,2603,33.4,3804,08:40:18.131,0
2021-01-22,2603,33.4,3804,08:40:23.149,0
2021-01-22,2603,33.4,3804,08:40:28.169,0
2021-01-22,2603,33.4,3804,08:40:33.186,0
2021-01-22,2603,33.4,3806,08:40:38.206,0
2021-01-22,2603,33.4,3806,08:40:43.225,0
2021-01-22,2603,33.4,3806,08:40:48.245,0
2021-01-22,2603,33.4,3806,08:40:53.266,0
2021-01-22,2603,33.4,3807,08:40:58.286,0
2021-01-22,2603,33.4,3805,08:41:03.306,0
2021-01-22,2603,33.4,3805,08:41:08.310,0
2021-01-22,2603,33.4,3835,08:41:13.485,0
2021-01-22,2603,33.4,3842,08:41:18.672,0
2021-01-22,2603,33.4,3842,08:41:23.867,0
2021-01-22,2603,33.4,4004,08:41:28.868,0
2021-01-22,2603,33.4,4020,08:41:33.870,0
2021-01-22,2603,33.4,4018,08:41:38.878,0
2021-01-22,2603,33.4,4018,08:41:43.888,0
2021-01-22,2603,33.4,4018,08:41:48.897,0
2021-01-22,2603,33.4,4023,08:41:53.909,0
2021-01-22,2603,33.4,4023,08:41:58.923,0
2021-01-22,2603,33.4,4023,08:42:03.934,0
2021-01-22,2603,33.4,4024,08:42:08.947,0
2021-01-22,2603,33.4,4024,08:42:13.960,0
2021-01-22,2603,33.4,4024,08:42:18.972,0
2021-01-22,2603,33.4,4026,08:42:23.986,0
2021-01-22,2603,33.4,4026,08:42:28.999,0
2021-01-22,2603,33.4,4026,08:42:34.014,0
2021-01-22,2603,33.4,4026,08:42:39.029,0
2021-01-22,2603,33.4,4027,08:42:44.043,0
2021-01-22,2603,33.4,4027,08:42:49.058,0
2021-01-22,2603,33.4,4031,08:42:54.073,0
2021-01-22,2603,33.4,4031,08:42:59.088,0
2021-01-22,2603,33.4,4031,08:43:04.100,0
2021-01-22,2603,33.4,4031,08:43:09.112,0
2021-01-22,2603,33.45,4925,08:43:14.126,0
2021-01-22,2603,33.6,5812,08:43:19.139,0
2021-01-22,2603,33.6,5811,08:43:24.151,0
2021-01-22,2603,33.6,6011,08:43:29.164,0
2021-01-22,2603,33.6,6011,08:43:34.177,0
2021-01-22,2603,33.6,6011,08:43:39.192,0
2021-01-22,2603,33.6,6011,08:43:44.208,0
2021-01-22,2603,33.6,6011,08:43:49.222,0
2021-01-22,2603,33.6,6055,08:43:54.237,0
2021-01-22,2603,33.6,6061,08:43:59.252,0
2021-01-22,2603,33.6,6062,08:44:04.267,0
2021-01-22,2603,33.6,6063,08:44:09.279,0
2021-01-22,2603,33.6,6063,08:44:14.291,0
2021-01-22,2603,33.6,6062,08:44:19.303,0
2021-01-22,2603,33.6,6063,08:44:24.316,0
2021-01-22,2603,33.6,6062,08:44:29.329,0
2021-01-22,2603,33.6,6062,08:44:34.342,0
2021-01-22,2603,33.6,6062,08:44:39.355,0
2021-01-22,2603,33.6,6062,08:44:44.370,0
2021-01-22,2603,33.6,6066,08:44:49.385,0
2021-01-22,2603,33.6,6067,08:44:54.399,0
2021-01-22,2603,33.6,6069,08:44:59.414,0
2021-01-22,2603,33.6,6089,08:45:04.429,0
2021-01-22,2603,33.6,6089,08:45:09.444,0
2021-01-22,2603,33.6,6088,08:45:14.458,0
2021-01-22,2603,33.6,6088,08:45:19.473,0
2021-01-22,2603,33.6,6088,08:45:24.486,0
2021-01-22,2603,33.6,6088,08:45:29.499,0
2021-01-22,2603,33.6,6088,08:45:34.510,0
2021-01-22,2603,33.6,6089,08:45:39.525,0
2021-01-22,2603,33.6,6089,08:45:44.536,0
2021-01-22,2603,33.55,6088,08:45:49.550,0
2021-01-22,2603,33.55,6089,08:45:54.565,0
2021-01-22,2603,33.6,6289,08:45:59.579,0
2021-01-22,2603,33.6,6289,08:46:04.592,0
2021-01-22,2603,33.6,6308,08:46:09.634,0
2021-01-22,2603,33.6,6308,08:46:14.688,0
2021-01-22,2603,33.6,6308,08:46:19.732,0
2021-01-22,2603,33.6,6316,08:46:24.767,0
2021-01-22,2603,33.6,6316,08:46:29.799,0
2021-01-22,2603,33.6,6316,08:46:34.828,0
2021-01-22,2603,33.6,6316,08:46:39.853,0
2021-01-22,2603,33.6,6316,08:46:44.879,0
2021-01-22,2603,33.6,6316,08:46:49.900,0
2021-01-22,2603,33.6,6316,08:46:54.923,0
2021-01-22,2603,33.6,6316,08:46:59.945,0
2021-01-22,2603,33.6,6316,08:47:04.966,0
2021-01-22,2603,33.6,6316,08:47:09.985,0
2021-01-22,2603,33.6,6317,08:47:15.006,0
2021-01-22,2603,33.6,6317,08:47:20.025,0
2021-01-22,2603,33.6,6319,08:47:25.042,0
2021-01-22,2603,33.6,6319,08:47:30.061,0
2021-01-22,2603,33.6,6319,08:47:35.081,0
2021-01-22,2603,33.6,6320,08:47:40.098,0
2021-01-22,2603,33.55,6320,08:47:45.117,0
2021-01-22,2603,33.55,6321,08:47:50.137,0
2021-01-22,2603,33.5,6188,08:47:55.155,0
2021-01-22,2603,33.5,6188,08:48:00.175,0
2021-01-22,2603,33.5,6188,08:48:05.194,0
2021-01-22,2603,33.5,6188,08:48:10.213,0
2021-01-22,2603,33.5,6148,08:48:15.234,0
2021-01-22,2603,33.5,6148,08:48:20.250,0
2021-01-22,2603,33.5,6148,08:48:25.268,0
2021-01-22,2603,33.5,6148,08:48:30.286,0
2021-01-22,2603,33.5,6153,08:48:35.306,0
2021-01-22,2603,33.5,6153,08:48:40.325,0
2021-01-22,2603,33.5,6153,08:48:45.344,0
2021-01-22,2603,33.5,6153,08:48:50.360,0
2021-01-22,2603,33.5,6153,08:48:55.380,0
2021-01-22,2603,33.5,6153,08:49:00.399,0
2021-01-22,2603,33.5,6153,08:49:05.418,0
2021-01-22,2603,33.5,6162,08:49:10.438,0
2021-01-22,2603,33.5,6162,08:49:15.457,0
2021-01-22,2603,33.5,6162,08:49:20.475,0
2021-01-22,2603,33.5,6172,08:49:25.495,0
2021-01-22,2603,33.5,6172,08:49:30.514,0
2021-01-22,2603,33.5,6162,08:49:35.532,0
2021-01-22,2603,33.5,6162,08:49:40.552,0
2021-01-22,2603,33.5,6162,08:49:45.569,0
2021-01-22,2603,33.5,6163,08:49:50.585,0
2021-01-22,2603,33.5,6162,08:49:55.603,0
2021-01-22,2603,33.5,6163,08:50:00.623,0
2021-01-22,2603,33.5,6170,08:50:05.642,0
2021-01-22,2603,33.5,6163,08:50:10.663,0
2021-01-22,2603,33.5,6164,08:50:15.682,0
2021-01-22,2603,33.5,6167,08:50:20.702,0
