date,datetime,stockid,userid,artid,reply,likes
2021/09/04,2021/09/04 09:16,6104,678337,132252631,0,2
2021/09/04,2021/09/04 09:14,6104,10132210,132252566,0,0
2021/09/04,2021/09/04 01:48,6104,4544120,132244875,3,35
2021/09/03,2021/09/03 23:14,6104,10132210,132240068,0,12
2021/09/03,2021/09/03 23:09,6104,5732576,132239869,6,111
2021/09/03,2021/09/03 22:12,6104,4210194,132236374,2,2
2021/09/03,2021/09/03 21:58,6104,417842,132235334,0,6
2021/09/03,2021/09/03 21:32,6104,7086914,132233683,1,11
2021/09/03,2021/09/03 21:30,6104,6064732,132233574,11,148
2021/09/03,2021/09/03 20:47,6104,4634584,132230274,1,27
2021/09/03,2021/09/03 19:52,6104,12957670,132226241,10,20
2021/09/03,2021/09/03 19:30,6104,10286482,132224675,9,31
2021/09/03,2021/09/03 18:25,6104,6888657,132220316,0,9
2021/09/03,2021/09/03 18:04,6104,4220337,132218854,0,10
2021/09/03,2021/09/03 18:02,6104,7425449,132218750,2,6
2021/09/03,2021/09/03 17:59,6104,662117,132218488,35,112
2021/09/03,2021/09/03 17:51,6104,10607397,132217886,7,9
2021/09/03,2021/09/03 17:51,6104,1170844,132217871,4,3
2021/09/03,2021/09/03 17:40,6104,1237118,132217120,1,13
2021/09/03,2021/09/03 17:14,6104,1176933,132215279,187,392
2021/09/03,2021/09/03 16:30,6104,955651,132211398,4,8
2021/09/03,2021/09/03 16:05,6104,12416380,132206910,0,11
2021/09/03,2021/09/03 15:36,6104,5732576,132204256,12,83
2021/09/03,2021/09/03 15:20,6104,2393907,132202753,10,33
2021/09/03,2021/09/03 15:11,6104,4654976,132201617,1,6
2021/09/03,2021/09/03 15:06,6104,5503435,132200902,8,17
2021/09/03,2021/09/03 14:58,6104,1221738,132200155,1,4
2021/09/03,2021/09/03 14:42,6104,5723960,132198585,11,12
2021/09/03,2021/09/03 14:31,6104,3729073,132197602,2,48
2021/09/03,2021/09/03 14:23,6104,9487286,132196829,18,9
2021/09/03,2021/09/03 14:15,6104,3791972,132195958,5,18
2021/09/03,2021/09/03 14:06,6104,4436091,132195150,7,10
2021/09/03,2021/09/03 13:57,6104,5014865,132193304,0,19
2021/09/03,2021/09/03 13:56,6104,12773334,132193106,6,18
2021/09/03,2021/09/03 13:51,6104,4457165,132192562,20,25
2021/09/03,2021/09/03 13:47,6104,1603831,132191692,22,229
2021/09/03,2021/09/03 13:41,6104,9874237,132190995,4,6
2021/09/03,2021/09/03 13:39,6104,11207779,132190753,6,12
2021/09/03,2021/09/03 13:39,6104,4272012,132190711,0,6
2021/09/03,2021/09/03 13:37,6104,5824704,132190530,1,13
2021/09/03,2021/09/03 13:37,6104,11986123,132190503,0,9
2021/09/03,2021/09/03 13:36,6104,1608254,132190382,0,7
2021/09/03,2021/09/03 13:35,6104,12416380,132190195,16,11
2021/09/03,2021/09/03 13:34,6104,12217121,132190039,4,14
2021/09/03,2021/09/03 13:34,6104,4259389,132190009,0,7
2021/09/03,2021/09/03 13:33,6104,9854269,132189972,4,13
2021/09/03,2021/09/03 13:33,6104,13499285,132189861,0,6
2021/09/03,2021/09/03 13:33,6104,10563810,132189855,0,5
2021/09/03,2021/09/03 13:32,6104,5026356,132189757,0,6
2021/09/03,2021/09/03 13:30,6104,7554659,132189569,0,13
2021/09/03,2021/09/03 13:30,6104,458136,132189465,8,11
2021/09/03,2021/09/03 13:29,6104,1056496,132189304,1,9
2021/09/03,2021/09/03 13:28,6104,6736464,132189254,0,8
2021/09/03,2021/09/03 13:28,6104,10956787,132189232,0,9
2021/09/03,2021/09/03 13:28,6104,1108459,132189231,4,16
2021/09/03,2021/09/03 13:28,6104,4586130,132189228,2,17
2021/09/03,2021/09/03 13:27,6104,10784384,132189189,0,17
2021/09/03,2021/09/03 13:27,6104,7959473,132189136,5,12
2021/09/03,2021/09/03 13:26,6104,12618880,132189013,1,9
2021/09/03,2021/09/03 13:26,6104,12504733,132188928,0,11
2021/09/03,2021/09/03 13:26,6104,8294141,132188914,1,16
2021/09/03,2021/09/03 13:25,6104,12394776,132188795,0,15
2021/09/03,2021/09/03 13:25,6104,11322182,132188762,0,9
2021/09/03,2021/09/03 13:24,6104,4528440,132188721,0,9
2021/09/03,2021/09/03 13:24,6104,5260983,132188698,0,10
2021/09/03,2021/09/03 13:24,6104,6286551,132188689,1,5
2021/09/03,2021/09/03 13:24,6104,6395556,132188672,0,9
2021/09/03,2021/09/03 13:23,6104,6387715,132188540,0,12
2021/09/03,2021/09/03 13:21,6104,1108459,132188313,3,12
2021/09/03,2021/09/03 13:20,6104,10286482,132188229,2,10
2021/09/03,2021/09/03 13:19,6104,2390330,132188053,1,11
