date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,datetime,stockid,userid,artid,reply,likes
2021-08-02,4976,4309476,342184261,79.0,81.6,77.8,78.8,-0.2,3187,,,,,,
2021-08-03,4976,3374954,271081831,80.2,81.3,79.5,80.3,1.5,2557,,,,,,
2021-08-04,4976,2195698,177165466,81.3,81.7,80.3,80.5,0.2,1735,,,,,,
2021-08-05,4976,2532132,201393453,81.2,81.3,78.9,79.0,-1.5,2164,,,,,,
2021-08-06,4976,9435463,714160296,78.8,78.8,73.4,75.5,-3.5,6770,,,,,,
2021-08-09,4976,8469130,615422231,74.0,75.3,70.9,71.5,-4.0,5713,2021/08/09 22:44,4976.0,9395156.0,129723840.0,2.0,12.0
2021-08-09,4976,8469130,615422231,74.0,75.3,70.9,71.5,-4.0,5713,2021/08/09 22:38,4976.0,9833557.0,129723320.0,2.0,30.0
2021-08-09,4976,8469130,615422231,74.0,75.3,70.9,71.5,-4.0,5713,2021/08/09 20:53,4976.0,1173353.0,129712177.0,7.0,15.0
2021-08-09,4976,8469130,615422231,74.0,75.3,70.9,71.5,-4.0,5713,2021/08/09 18:52,4976.0,6918216.0,129697225.0,0.0,6.0
2021-08-09,4976,8469130,615422231,74.0,75.3,70.9,71.5,-4.0,5713,2021/08/09 18:47,4976.0,1508419.0,129696723.0,0.0,4.0
2021-08-09,4976,8469130,615422231,74.0,75.3,70.9,71.5,-4.0,5713,2021/08/09 16:59,4976.0,819484.0,129684370.0,5.0,12.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 21:55,4976.0,9727708.0,129862474.0,9.0,33.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 20:38,4976.0,4704711.0,129853865.0,7.0,9.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 20:04,4976.0,819484.0,129850200.0,3.0,13.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 18:14,4976.0,7191601.0,129838166.0,3.0,5.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 17:46,4976.0,4686068.0,129835054.0,0.0,4.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 17:15,4976.0,8283683.0,129831121.0,7.0,6.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 17:04,4976.0,8608137.0,129829438.0,2.0,4.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 15:16,4976.0,8742901.0,129811841.0,0.0,1.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 14:56,4976.0,5164604.0,129808794.0,3.0,2.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 14:25,4976.0,8268674.0,129804583.0,4.0,11.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 14:12,4976.0,5399793.0,129802818.0,0.0,2.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 13:51,4976.0,6474447.0,129798758.0,8.0,2.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 13:50,4976.0,3850113.0,129798642.0,3.0,2.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 13:40,4976.0,5310367.0,129796592.0,0.0,1.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 13:23,4976.0,7162949.0,129793708.0,4.0,3.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 12:57,4976.0,4927929.0,129789872.0,3.0,13.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 12:44,4976.0,1385551.0,129787898.0,4.0,4.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 12:12,4976.0,8643207.0,129783210.0,27.0,5.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 12:03,4976.0,8742901.0,129781941.0,1.0,8.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 11:48,4976.0,5165210.0,129779399.0,7.0,11.0
2021-08-10,4976,8677426,598057487,71.0,71.4,67.5,67.8,-3.7,5680,2021/08/10 11:23,4976.0,10888370.0,129775452.0,1.0,11.0
